"PORTAL";"URL_ANUNCIO";"COD_POSTAL";"MUNICIPIO";"DISTRITO";"BARRIO";"PRECIO";"M2";"FECHA_PROCESADO"
idealista;http://www.idealista.com/2231953;"28015";Madrid;Chamberí;Gaztambide;"3900";"395";"2017-11-01"
idealista;http://www.idealista.com/2232263;"28500";Arganda;Perlita;;"300";"75";"2017-11-01"
idealista;http://www.idealista.com/2232398;"28022";Madrid;San Blas;Rosas;"5500";"233";"2017-11-01"
idealista;http://www.idealista.com/2232739;"28035";Madrid;Fuencarral;Peñagrande;"700";"62";"2017-11-01"
idealista;http://www.idealista.com/2232950;"28019";Madrid;Carabanchel;San Isidro;"275";"25";"2017-11-01"
idealista;http://www.idealista.com/2232974;"28003";Madrid;Chamberí;Vallehermoso;"10450";"950";"2017-11-01"
idealista;http://www.idealista.com/2233305;"28025";Madrid;Carabanchel;San Isidro;"1300";"140";"2017-11-01"
idealista;http://www.idealista.com/2233481;"28019";Madrid;Carabanchel;Opañel;"2200";"315";"2017-11-01"
idealista;http://www.idealista.com/2233930;"28015";Madrid;Chamberí;Gaztambide;"600";"125";"2017-11-01"
idealista;http://www.idealista.com/2234027;"28902";Getafe;Getafe Centro;;"1150";"70";"2017-11-01"
idealista;http://www.idealista.com/2234449;"28907";Getafe;El Bercial;;"950";"117";"2017-11-01"
idealista;http://www.idealista.com/2234853;"28021";Madrid;Villaverde;San Andrés;"700";"65";"2017-11-01"
idealista;http://www.idealista.com/2235687;"28003";Madrid;Chamberí;Vallehermoso;"3500";"179";"2017-11-01"
idealista;http://www.idealista.com/2235761;"28003";Madrid;Chamberí;Vallehermoso;"616";"45";"2017-11-01"
idealista;http://www.idealista.com/2236497;"28933";Móstoles;Norte - Universidad;;"450";"45";"2017-11-01"
idealista;http://www.idealista.com/2236709;"28840";Mejorada del Campo;;;"350";"37";"2017-11-01"
idealista;http://www.idealista.com/2236937;"28055";Madrid;Hortaleza;Valdebebas - Valdefuentes;"9537";"561";"2017-11-01"
idealista;http://www.idealista.com/2236957;"28320";Pinto;San José - Buenos Aires;;"3089";"154";"2017-11-01"
idealista;http://www.idealista.com/2236966;"28010";Madrid;Chamberí;Almagro;"5500";"150";"2017-11-01"
idealista;http://www.idealista.com/2237373;"28970";Humanes de Madrid;;;"375";"70";"2017-11-01"
idealista;http://www.idealista.com/2237800;"28760";Tres Cantos;Zona Industrial;;"2500";"474";"2017-11-01"
idealista;http://www.idealista.com/2237810;"28760";Tres Cantos;Zona Industrial;;"2400";"506";"2017-11-01"
idealista;http://www.idealista.com/2237983;"28006";Madrid;Salamanca;Castellana;"950";"73";"2017-11-01"
idealista;http://www.idealista.com/2238329;"28053";Madrid;Puente de Vallecas;San Diego;"765";"90";"2017-11-01"
idealista;http://www.idealista.com/2238360;"28053";Madrid;Puente de Vallecas;San Diego;"700";"140";"2017-11-01"
idealista;http://www.idealista.com/2238367;"28025";Madrid;Carabanchel;Vista Alegre;"190";"25";"2017-11-01"
idealista;http://www.idealista.com/2238379;"28005";Madrid;Centro;Palacio;"1450";"135";"2017-11-01"
idealista;http://www.idealista.com/2238692;"28760";Tres Cantos;Zona Industrial;;"2600";"474";"2017-11-01"
idealista;http://www.idealista.com/2238794;"28025";Madrid;Carabanchel;Vista Alegre;"550";"70";"2017-11-01"
idealista;http://www.idealista.com/2238977;"28025";Madrid;Carabanchel;Vista Alegre;"600";"72";"2017-11-01"
idealista;http://www.idealista.com/2239020;"28010";Madrid;Chamberí;Almagro;"800";"60";"2017-11-01"
idealista;http://www.idealista.com/2239202;"28041";Madrid;Usera;"12 de Octubre-Orcasur";"500";"50";"2017-11-01"
idealista;http://www.idealista.com/2239246;"28341";Valdemoro;Restón i - Restón Ii;;"400";"55";"2017-11-01"
idealista;http://www.idealista.com/2239256;"28023";Madrid;Moncloa;Aravaca;"1000";"140";"2017-11-01"
idealista;http://www.idealista.com/2239320;"28500";Arganda;Los Villares;;"800";"85";"2017-11-01"
idealista;http://www.idealista.com/2239977;"28260";Galapagar;Casco Antiguo;;"550";"80";"2017-11-01"
idealista;http://www.idealista.com/2240216;"28007";Madrid;Retiro;Estrella;"1995";"26";"2017-11-01"
idealista;http://www.idealista.com/2240584;"28330";San Martín de la Vega;;;"1150";"500";"2017-11-01"
idealista;http://www.idealista.com/2240775;"28341";Valdemoro;Centro;;"2000";"284";"2017-11-01"
idealista;http://www.idealista.com/2240881;"28025";Madrid;Carabanchel;Vista Alegre;"700";"80";"2017-11-01"
idealista;http://www.idealista.com/2241091;"28002";Madrid;Chamartín;Prosperidad;"750";"114";"2017-11-01"
idealista;http://www.idealista.com/2241161;"28850";Torrejón de Ardoz;Suroeste;;"2400";"801";"2017-11-01"
idealista;http://www.idealista.com/2241510;"28703";San Sebastián de los Reyes;Pol. Industrial sur;;"1050";"177";"2017-11-01"
idealista;http://www.idealista.com/2241718;"28010";Madrid;Chamberí;Trafalgar;"5995";"121";"2017-11-01"
idealista;http://www.idealista.com/2242197;"28821";Coslada;El Barral Ferial;;"3000";"95";"2017-11-01"
idealista;http://www.idealista.com/2242650;"28901";Getafe;Getafe Centro;;"1300";"75";"2017-11-01"
idealista;http://www.idealista.com/2243561;"28027";Madrid;Ciudad Lineal;San Pascual;"1800";"200";"2017-11-01"
idealista;http://www.idealista.com/2243596;"28019";Madrid;Carabanchel;San Isidro;"420";"50";"2017-11-01"
idealista;http://www.idealista.com/2244072;"28015";Madrid;Chamberí;Gaztambide;"2250";"170";"2017-11-01"
idealista;http://www.idealista.com/2244744;"28017";Madrid;Ciudad Lineal;Pueblo Nuevo;"700";"85";"2017-11-01"
idealista;http://www.idealista.com/2244756;"28600";Navalcarnero;;;"400";"192";"2017-11-01"
idealista;http://www.idealista.com/2244899;"28010";Madrid;Chamberí;Almagro;"2800";"300";"2017-11-01"
idealista;http://www.idealista.com/2245405;"28006";Madrid;Salamanca;Castellana;"5950";"230";"2017-11-01"
idealista;http://www.idealista.com/2245503;"28931";Móstoles;Centro;;"550";"65";"2017-11-01"
idealista;http://www.idealista.com/2245531;"28016";Madrid;Chamartín;Bernabéu-Hispanoamérica;"590";"25";"2017-11-01"
idealista;http://www.idealista.com/2245588;"28035";Madrid;Fuencarral;Peñagrande;"800";"63";"2017-11-01"
idealista;http://www.idealista.com/2246063;"28822";Coslada;La Espinilla - Parque Blanco;;"460";"60";"2017-11-01"
idealista;http://www.idealista.com/2246114;"28703";San Sebastián de los Reyes;Vega de la Moraleja;;"12575";"503";"2017-11-01"
idealista;http://www.idealista.com/2246605;"28039";Madrid;Tetuán;Berruguete;"500";"100";"2017-11-01"
idealista;http://www.idealista.com/2246906;"28032";Madrid;Vicálvaro;Casco Histórico de Vicálvaro;"650";"40";"2017-11-01"
idealista;http://www.idealista.com/2247056;"28823";Coslada;El Barral Ferial;;"22000";"4200";"2017-11-01"
idealista;http://www.idealista.com/2247126;"28702";San Sebastián de los Reyes;Dehesa Vieja-Puente Cultural;;"1350";"128";"2017-11-01"
idealista;http://www.idealista.com/2247136;"28008";Madrid;Moncloa;Casa de Campo;"6500";"1000";"2017-11-01"
idealista;http://www.idealista.com/2247255;"28850";Torrejón de Ardoz;Noroeste;;"4840";"500";"2017-11-01"
idealista;http://www.idealista.com/2247449;"28019";Madrid;Carabanchel;Comillas;"650";"90";"2017-11-01"
idealista;http://www.idealista.com/2247462;"28342";Valdemoro;Guardia Civil - Zona Industrial;;"600";"83";"2017-11-01"
idealista;http://www.idealista.com/2247482;"28600";Navalcarnero;;;"450";"90";"2017-11-01"
idealista;http://www.idealista.com/2248881;"28010";Madrid;Chamberí;Trafalgar;"1200";"82";"2017-11-01"
idealista;http://www.idealista.com/2248883;"28806";Alcalá de Henares;La Garena;;"1000";"94";"2017-11-01"
idealista;http://www.idealista.com/2249313;"28690";Brunete;;;"950";"250";"2017-11-01"
idealista;http://www.idealista.com/2250075;"28921";Alcorcón;Centro;Casco Antiguo;"2400";"476";"2017-11-01"
idealista;http://www.idealista.com/2250192;"28052";Madrid;Vicálvaro;El Cañaveral - Los Berrocales;"4200";"1300";"2017-11-01"
idealista;http://www.idealista.com/2250413;"28039";Madrid;Tetuán;Bellas Vistas;"1200";"179";"2017-11-01"
idealista;http://www.idealista.com/2250420;"28025";Madrid;Carabanchel;Abrantes;"500";"84";"2017-11-01"
idealista;http://www.idealista.com/2250706;"28110";Algete;;;"600";"75";"2017-11-01"
idealista;http://www.idealista.com/2250983;"28021";Madrid;Villaverde;San Andrés;"2500";"250";"2017-11-01"
idealista;http://www.idealista.com/2251457;"28011";Madrid;Latina;Puerta del Ángel;"650";"80";"2017-11-01"
idealista;http://www.idealista.com/2251705;"28022";Madrid;San Blas;Rosas;"425";"35";"2017-11-01"
idealista;http://www.idealista.com/2251715;"28021";Madrid;Villaverde;San Andrés;"900";"270";"2017-11-01"
idealista;http://www.idealista.com/2252038;"28703";San Sebastián de los Reyes;Pol. Industrial sur;;"3442";"765";"2017-11-01"
idealista;http://www.idealista.com/2252421;"28037";Madrid;San Blas;Simancas;"1100";"200";"2017-11-01"
idealista;http://www.idealista.com/2252646;"28021";Madrid;Villaverde;Butarque;"350";"50";"2017-11-01"
idealista;http://www.idealista.com/2252838;"28250";Torrelodones;Casco Antiguo;;"800";"190";"2017-11-01"
